month,day,hour,temp,kW
9,25,19,69.1,109.9775
9,25,20,66.9,109.9075
9,25,21,66,109.3575
9,25,22,66,108.9575
9,25,23,64,109.4925
9,25,24,66,110.485
9,26,1,64.9,109.4625
9,26,2,64.9,109.3
9,26,3,64.9,109.4525
9,26,4,64.9,108.4775
9,26,5,64.9,108.805
9,26,6,66,109.4575
9,26,7,66,109.75
9,26,8,66.9,110.27
9,26,9,68,87.2975
9,26,10,68,108.1375
9,26,11,69.1,119.7725
9,26,12,70,121.78
9,26,13,69.1,124.5625
9,26,14,69.55,92.4
9,26,15,70,87.2775
9,26,16,70,86.3175
9,26,17,70,85.2925
9,26,18,70,122.8575
9,26,19,70,116.98
9,26,20,70,114.13
9,26,21,70,114.44
9,26,22,66.9,111.945
9,26,23,66,111.225
9,26,24,66,111.19
9,27,1,66.9,111.13
9,27,2,66.9,110.5675
9,27,3,66.9,110.415
9,27,4,66.73,110.1775
9,27,5,66.67,109.225
9,27,6,66.9,109.6225
9,27,7,67.45,105.8875
9,27,8,66.9,79.7425
9,27,9,66,82.3075
9,27,10,66,84.35
9,27,11,66.9,85.29
9,27,12,70,85.25
9,27,13,72,94.5475
9,27,14,73.9,127.5875
9,27,15,75.9,101.4125
9,27,16,75.9,69.075
9,27,17,75.9,63.695
9,27,18,75,61.995
9,27,19,71.1,59.8225
9,27,20,70,59.2425
9,27,21,68,57.7325
9,27,22,66,56.4925
9,27,23,66,54.89
9,27,24,66,55.1975
9,28,1,66,55.1425
9,28,2,64.9,55.34
9,28,3,64.9,54.885
9,28,4,64.9,54.35
9,28,5,64.9,53.595
9,28,6,66,54.1225
9,28,7,66.07,54.94
9,28,8,66,56.5925
9,28,9,66,60.215
9,28,10,66,63.5775
9,28,11,66,64.265
9,28,12,68,123.9625
9,28,13,68.28,121.8675
9,28,14,68,122.625
9,28,15,69.33,121.17
9,28,16,69.1,119.5375
9,28,17,69.33,89.405
9,28,18,70,81.845
9,28,19,70,116.4225
9,28,20,70.22,118.8525
9,28,21,71,116.175
9,28,22,70.53,114.8775
9,28,23,70,112.7525
9,28,24,70,113.04
9,29,1,70,112.6525
9,29,2,69.82,112.595
9,29,3,69.1,112.625
9,29,4,68,111.9825
9,29,5,68,111.555
9,29,6,68,112
9,29,7,68.28,112.04
9,29,8,68.37,113.5025
9,29,9,70,94.2425
9,29,10,70,84.415
9,29,11,70,83.8525
9,29,12,70,71.055
9,29,13,70,65.1675
9,29,14,69.95,66.2025
9,29,15,70,66.2925
9,29,16,69.1,65.81
9,29,17,69.1,62.77
9,29,18,68,60.9725
9,29,19,68,58.835
9,29,20,66.9,57.6125
9,29,21,66,57.4875
9,29,22,66,56.7825
9,29,23,66,55.015
9,29,24,64.9,54.495
9,30,1,64.9,54.705
9,30,2,64,55.3575
9,30,3,64,54.62
9,30,4,64,54.27
9,30,5,64,53.4775
9,30,6,62.55,53.805
9,30,7,62.1,54.0625
9,30,8,62.1,55.9625
9,30,9,62.1,62.74
9,30,10,62.4,124.6775
9,30,11,64,118.385
9,30,12,64,117.3225
9,30,13,64.9,117.8825
9,30,14,64.9,117.4725
9,30,15,64.9,116.9
9,30,16,64.9,117.245
9,30,17,64.9,117.0225
9,30,18,64.6,116.8575
9,30,19,65.5,113.7725
9,30,20,65.2,111.8125
9,30,21,64.9,101.46
9,30,22,64.9,109.5325
9,30,23,64.9,100.0675
9,30,24,64.9,101.6625
10,1,1,64,107.095
10,1,2,64,106.54
10,1,3,64,99.65
10,1,4,64,106.635
10,1,5,64,106.0775
10,1,6,64,105.7
10,1,7,64,105.745
10,1,8,64,105.275
10,1,9,64,97.3925
